,URN,School Name,Phase,Pupils on Roll,Ofsted Rating,RSC Region,Region Classification,Easting,Northing,FSM Rate,Funding per Pupil,Total Funding,Total Absence Rate,Ofsted New,Ofsted Score,RUC Score,Urban/Rural
0,101614,Downe Primary School,Primary,74,Good,South-East England and South London,(England/Wales) Rural hamlet and isolated dwellings,543350,161795,10.8,6441.8,510049.0,8.1497,Good,3,4,Rural
1,102028,Forty Hill CofE Primary School,Primary,227,Good,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,534178,198690,17.2,4958.39,1170602.0,4.98025,Good,3,4,Rural
2,105078,Thurstaston Dawpool CofE Primary School,Primary,219,Outstanding,Lancashire and West Yorkshire,(England/Wales) Rural hamlet and isolated dwellings,324660,384721,2.8,4265.0,968304.0,6.27767,Outstanding,4,4,Rural
3,105344,"Holly Mount Roman Catholic Primary School, Bury",Primary,276,Outstanding,Lancashire and West Yorkshire,(England/Wales) Rural hamlet and isolated dwellings,376989,414229,4.3,4296.65,1315619.0,4.72174,Outstanding,4,4,Rural
4,106270,St Damian's RC Science College,Secondary,837,Outstanding,Lancashire and West Yorkshire,(England/Wales) Rural hamlet and isolated dwellings,395017,401424,18.4,6060.34,5422860.0,7.11089,Outstanding,4,4,Rural
5,107268,Stanbury Village School,Primary,118,Good,Lancashire and West Yorkshire,(England/Wales) Rural hamlet and isolated dwellings,400807,436987,7.5,5362.44,605578.0,8.08798,Good,3,4,Rural
6,107438,Keelham Primary School,Primary,118,Good,Lancashire and West Yorkshire,(England/Wales) Rural hamlet and isolated dwellings,407539,432415,7.0,5112.33,602792.0,5.62828,Good,3,4,Rural
7,107512,Colden Junior and Infant School,Primary,88,Good,Lancashire and West Yorkshire,(England/Wales) Rural hamlet and isolated dwellings,396194,428388,15.9,5733.27,510523.0,6.11608,Good,3,4,Rural
8,107517,Midgley School,Primary,95,Good,Lancashire and West Yorkshire,(England/Wales) Rural hamlet and isolated dwellings,403451,426247,6.3,5096.41,523070.0,6.12466,Good,3,4,Rural
9,107537,Norland CE School,Primary,75,Good,Lancashire and West Yorkshire,(England/Wales) Rural hamlet and isolated dwellings,406605,422635,12.0,5100.8,537661.0,5.20652,Good,3,4,Rural
10,107643,Clough Head Junior and Infant School,Primary,83,Good,Lancashire and West Yorkshire,(England/Wales) Rural hamlet and isolated dwellings,408113,415901,10.8,5487.38,506070.0,4.05669,Good,3,4,Rural
11,109180,Tortworth VC Primary School,Primary,68,Good,South-West England,(England/Wales) Rural hamlet and isolated dwellings,370116,193018,36.8,6400.1,432497.0,6.43092,Good,3,4,Rural
12,109240,Burrington Church of England Voluntary Aided Primary School,Primary,71,Good,South-West England,(England/Wales) Rural hamlet and isolated dwellings,347892,159386,2.8,6275.0,389947.0,5.98708,Good,3,4,Rural
13,109262,Horton CofE VA Primary School,Primary,56,Good,South-West England,(England/Wales) Rural hamlet and isolated dwellings,376269,184288,17.9,6856.75,394955.0,7.31813,Good,3,4,Rural
14,109460,Husborne Crawley Lower School,Primary,49,Good,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,495995,235796,10.2,6993.33,336105.0,6.12338,Good,3,4,Rural
15,109472,Maulden Lower School,Primary,165,Good,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,505844,237866,17.1,4631.44,678668.0,7.33077,Good,3,4,Rural
16,109481,Southill Lower School,Primary,62,Good,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,514964,242102,12.3,6030.53,423600.0,6.8736,Good,3,4,Rural
17,109486,Thurleigh Primary School,Primary,81,Requires improvement,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,505203,258555,22.2,6535.67,517188.4,5.11452,Requires improvement,2,4,Rural
18,109590,Kymbrook Primary School,Primary,79,Good,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,508283,261166,12.7,6128.8,488421.4,7.33738,Good,3,4,Rural
19,109603,Renhold VC Primary School,Primary,213,Good,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,508739,252829,9.4,4582.05,923098.0,5.56615,Good,3,4,Rural
20,109605,Silsoe CofE VC Lower School,Primary,269,Good,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,507848,235171,11.9,4379.71,1336106.0,6.34206,Good,3,4,Rural
21,109614,St James' Church of England VA Primary School,Primary,192,Good,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,502243,249926,15.1,4604.44,987530.0,3.31898,Good,3,4,Rural
22,109627,Wilden CofE VA Primary School,Primary,42,Requires improvement,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,509527,255131,25.6,8169.14,414493.4,7.39942,Requires improvement,2,4,Rural
23,109817,Inkpen Primary School,Primary,52,Requires improvement,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,436875,164536,21.2,6823.97,488496.0,5.1185,Requires improvement,2,4,Rural
24,109832,Waltham St Lawrence Primary School,Primary,145,Outstanding,North-West London and South-Central England,(England/Wales) Rural hamlet and isolated dwellings,482623,175371,8.3,4651.1,725822.0,4.15477,Outstanding,4,4,Rural
